token,count
a,12
activities,3
all,2
already,2
alternatives,3
am,11
an,7
analysis,3
and,19
andrew,4
answers,2
anticipation,3
are,12
article,1
articles,3
as,5
asap,1
at,9
attention,3
attorney,5
aware,3
basic,3
be,2
been,5
before,3
better,2
bi,1
border,11
bosses,2
by,5
cal,2
california,6
call,3
capital,1
cc,5
changed,3
changes,3
client,5
com,1
compared,3
compuserve,1
confidential,5
considerations,3
considered,3
contribute,3
copies,1
corp,3
could,3
couriered,1
d,8
danny,2
darrell,6
decision,3
denne,3
designate,3
determination,3
determining,3
df,2
discuss,3
do,3
doc,1
drew,4
ect,6
ees,3
enron,22
enronxgate,2
et,8
europe,1
events,2
excellent,1
excess,6
explain,2
explanation,3
followed,3
following,3
for,12
forwarded,5
fossum,4
frequency,3
from,1
full,2
gas,8
general,1
get,3
give,3
gls,1
glslanguageservices,1
good,1
groups,3
harris,2
has,1
have,6
here,4
him,2
hou,2
houston,1
how,4
hyatt,2
i,17
if,2
in,11
includes,3
increased,3
individuals,3
information,3
informed,3
input,1
involved,3
involving,3
iona,2
is,16
it,4
j,2
julia,2
karen,4
kean,2
kevin,2
know,3
last,3
let,3
like,6
line,2
lingual,1
litigation,3
ll,1
lon,3
maclean,1
make,9
many,1
mccarty,2
me,8
more,5
morrison,3
natural,3
necessary,6
need,2
nice,1
of,22
on,9
operational,9
operationally,3
operations,3
or,3
organising,1
original,1
over,1
pack,2
people,2
pictures,1
plate,2
please,10
plenty,1
pm,2
potential,3
prepare,3
prepared,2
pressure,3
pressures,3
previous,3
privilege,2
privileged,8
process,3
pull,2
putting,2
questions,2
reached,3
reason,3
reasons,3
reprints,1
request,3
resources,1
response,3
resulted,1
right,2
s,14
sale,9
sales,13
schoolcraft,2
sell,3
sent,2
several,3
since,3
so,2
some,3
specific,6
steve,2
steven,4
stuff,2
subject,5
such,6
system,3
thanks,6
that,14
the,36
them,3
these,5
this,3
those,3
thought,2
to,38
too,1
trade,1
translation,3
tw,10
ve,4
volume,3
way,3
we,5
well,1
what,12
whether,3
which,3
will,2
year,3
years,3
you,2
